Type,Crew Type,Premission,Postmission,A,B
Mission,t10,20-Mar-32,09-Apr-32,False,False
Local,t11,22-Mar-32,23-Mar-32,False,False
AD Mission,t15,22-Mar-32,26-Mar-32,False,False
Mission,t16,22-Mar-32,31-Mar-32,False,False
Local,t11,23-Mar-32,25-Mar-32,True,False
SOLL Local,t13,23-Mar-32,25-Mar-32,True,False
Mission,t10,23-Mar-32,27-Mar-32,False,False
AD Mission,t15,23-Mar-32,08-Apr-32,False,False
SOLL Local,t13,24-Mar-32,26-Mar-32,True,False
Local,t11,24-Mar-32,25-Mar-32,False,False
Mission,t16,25-Mar-32,29-Mar-32,False,False
Mission,t16,25-Mar-32,29-Mar-32,False,False
Mission,t10,26-Mar-32,21-Apr-32,False,False
SOLL Mission,t13,27-Mar-32,30-Mar-32,False,False
SOLL Local,t13,28-Mar-32,30-Mar-32,True,True
Local,t11,28-Mar-32,29-Mar-32,False,True
Mission,t16,28-Mar-32,01-Apr-32,False,False
Local,t11,29-Mar-32,30-Mar-32,False,False
Local,t11,30-Mar-32,01-Apr-32,True,True
Local,t11,30-Mar-32,31-Mar-32,False,False
SOLL Local,t13,30-Mar-32,01-Apr-32,True,True
Mission,t16,30-Mar-32,07-Apr-32,False,False
SOLL Local,t13,30-Mar-32,01-Apr-32,True,True
Local,t11,31-Mar-32,01-Apr-32,False,True
Local,t11,31-Mar-32,02-Apr-32,True,False
SOLL Alert,t13,01-Apr-32,11-Apr-32,False,False
Banner Alert,t10,01-Apr-32,04-Apr-32,False,False
Mission,t16,01-Apr-32,05-Apr-32,False,False
Mission,t10,03-Apr-32,13-Apr-32,False,False
AD Local,t12,04-Apr-32,05-Apr-32,False,False
SOLL Local,t13,04-Apr-32,06-Apr-32,True,True
Local,t11,05-Apr-32,06-Apr-32,False,False
AD Local,t12,05-Apr-32,07-Apr-32,True,True
Mission,t10,06-Apr-32,09-Apr-32,False,False
AD Local,t12,06-Apr-32,07-Apr-32,False,False
SOLL Local,t13,06-Apr-32,08-Apr-32,True,True
Banner Alert,t10,07-Apr-32,10-Apr-32,False,False
Local,t11,07-Apr-32,09-Apr-32,True,False
AD Local,t12,07-Apr-32,08-Apr-32,False,False
SOLL Mission,t13,08-Apr-32,18-Apr-32,False,False
Mission,t10,08-Apr-32,12-Apr-32,False,False
Mission,t10,10-Apr-32,14-Apr-32,False,False
AD Mission,t15,11-Apr-32,19-Apr-32,False,False
SOLL Local,t13,11-Apr-32,13-Apr-32,True,True
Local,t11,11-Apr-32,12-Apr-32,False,False
Mission,t10,12-Apr-32,24-Apr-32,False,False
Local,t11,12-Apr-32,13-Apr-32,False,False
Local,t11,12-Apr-32,14-Apr-32,True,False
Local,t11,13-Apr-32,14-Apr-32,False,False
SOLL Alert,t13,15-Apr-32,25-Apr-32,False,False
Mission,t16,15-Apr-32,16-Apr-32,False,False
Local,t11,15-Apr-32,16-Apr-32,False,True
Mission,t10,17-Apr-32,05-May-32,False,False
AD Local,t12,18-Apr-32,19-Apr-32,False,False
